Store,Dept,IsHoliday,Size,Type,Weekly_Sales,Date
17,88,False,36932,B,39621.3928235944,2012-05-04
4,49,False,176111,C,49878.84483946101,2017-04-22
42,32,True,85967,B,15763.76518522767,2013-01-08
38,22,True,24034,A,48043.34327671328,2018-11-22
28,97,True,180602,B,7396.190268151681,2013-02-06
10,83,False,173143,A,42730.438769124135,2021-05-11
33,88,False,12270,A,27828.99970971214,2021-07-23
35,64,True,108019,B,13776.14795292292,2018-10-09
2,36,True,161565,B,30471.554762310014,2014-12-08
18,38,False,97076,C,33590.57807100924,2015-11-03
28,32,True,44376,C,38578.60458955633,2010-09-19
6,37,True,163373,B,7451.949411461404,2014-12-13
15,96,False,135923,A,1244.9879212310816,2018-08-15
33,72,False,63242,C,23089.597011393525,2018-11-25
14,86,False,198294,B,20970.744883015414,2023-04-03
10,4,False,194727,B,2775.180529010243,2010-04-29
27,61,True,163777,A,26834.906917243366,2014-09-24
34,37,False,73795,A,23106.346179807788,2021-05-02
38,7,True,27541,B,29622.090724028338,2014-07-18
29,59,True,42365,C,42607.96944953687,2013-04-17
26,95,True,194200,A,41568.059020373956,2021-10-20
7,43,True,157994,C,19611.502201487292,2015-01-09
13,74,True,61750,B,11740.219214660323,2022-01-19
30,36,True,179314,A,10003.138168106612,2023-12-19
34,70,False,30484,C,38198.49050307795,2014-03-08
17,52,False,42638,A,19055.112912794357,2020-06-04
8,99,True,108465,A,39378.729310777395,2014-07-20
36,86,False,160968,B,7908.934733897627,2023-08-19
8,84,False,69589,C,45542.51708283963,2017-03-27
25,5,False,174278,B,6029.48427813183,2016-08-22
36,22,False,168665,C,38258.6268447672,2019-09-06
3,25,True,159587,B,14726.469924112542,2023-06-09
40,22,True,112507,C,45640.08871718175,2020-07-23
37,94,True,88862,B,22901.148051113916,2010-06-05
31,2,False,66833,C,11977.17568015071,2020-02-24
7,73,False,144408,C,30542.242278954836,2023-05-07
35,44,False,165522,A,46202.12122746524,2019-11-18
7,82,True,58626,A,9214.239792361153,2016-04-17
17,37,False,164417,A,6637.80493121834,2017-07-07
11,40,False,171670,C,9906.50572569861,2014-08-30
25,61,True,32438,C,12628.72898284483,2014-05-20
43,28,False,119905,A,33400.45403488833,2014-09-07
26,80,False,105955,B,47934.20742111301,2019-12-01
17,11,False,183456,C,35068.2611349663,2018-01-04
12,87,False,144199,B,34558.85295595538,2018-06-20
37,66,True,177024,B,29924.227336300988,2017-05-06
31,51,False,93477,C,3178.6239228937584,2019-11-22
36,98,False,60109,A,36786.71389656032,2016-08-11
13,46,True,107463,B,42172.392030568044,2016-07-15
38,55,True,124866,A,39405.81922518374,2012-04-15
8,24,True,136432,A,2207.6556658624086,2010-10-06
26,19,True,11933,A,18667.799075455903,2012-11-24
21,8,False,78821,A,20592.435451967114,2021-03-08
3,61,False,113527,C,8846.092201217425,2022-05-19
19,96,False,54754,C,2375.7688500951795,2011-12-23
14,41,True,145633,C,20549.314878831658,2018-02-18
40,84,False,127564,A,19042.655507091975,2010-07-08
12,97,False,65190,B,44831.02263588375,2013-02-01
26,87,False,81163,C,42490.48375967478,2018-01-11
5,98,True,101069,A,4945.467050171032,2014-03-08
40,75,True,129695,C,44213.97516431295,2010-06-23
9,41,True,40380,B,47198.33610981532,2013-12-07
3,43,False,161540,A,9840.342771044458,2011-06-21
38,6,False,95146,B,17603.1533911727,2012-11-05
